user,Survey,timestamp,age_group,location,status,endMonth_saves_money,money_goes_to,uses_budgeting_app,financial_emotions,out_of_control_when,budgeting_app_experience,motivation_use_budgeting_app,change_one_thing,open_to_interview,email
user_9,Italian Survey,2025-04-19,55–64,"Cagliari, Sardegna",full-time worker,yes,spesa alimentare,no,motivazione,,,grafici e analisi visive,,,
user_10,Italian Survey,2025-04-19,55–64,italia,full-time worker,yes,spesa alimentare,no,controllo,Mai,"No, non l'ho mai usata",grafici e analisi visive,Nulla,yes,or****@tiscali.it
user_11,Italian Survey,2025-04-19,55–64,"Cagliari, Sardegna",full-time worker,yes,utenze e bollette,no,controllo,Mai,"No, non l'ho mai usata",altro,Nulla,no,
user_12,Italian Survey,2025-04-19,65+,"Carloforte, Sardegna",retired,yes,utenze e bollette,no,motivazione,Durante spese importanti come la ristrutturazione della casa,"No, non l'ho mai usata",monitoraggio automatico delle spese,Ridurre le bollette energetiche,no,
user_13,Italian Survey,2025-04-19,55–64,italia,full-time worker,sometimes,"spesa alimentare, utenze e bollette, abbonamenti, prestiti o debiti",no,"ansia, frustrazione",Quando ci sono spese impreviste,"No, non l'ho mai usata",altro,Aumento del salario,no,
user_14,Italian Survey,2025-04-19,40–54,napoli,part-time worker,sometimes,spesa alimentare,no,controllo,A fine mese,"No, non l'ho mai usata",notifiche utili,Avere uno stipendio più alto,no,
user_15,Italian Survey,2025-04-19,55–64,"Cagliari, Sardegna",full-time worker,yes,"spesa alimentare, utenze e bollette, spese impreviste",no,controllo,Quando ci sono spese impreviste,"No, non l'ho mai usata","monitoraggio automatico delle spese, sensazione di sicurezza e controllo, altro",Avere uno stipendio più alto,yes,gi****@gmail.com
user_16,Italian Survey,2025-04-19,21–29,"Reggio Calabria, Calabria",full-time worker,yes,affitto / mutuo,no,insicurezza,Quando ci sono spese impreviste,"No, non l'ho mai usata",obiettivi di risparmio,Avere uno stipendio più alto,no,st****@gmail.com
user_17,Italian Survey,2025-04-19,55–64,"Cagliari, Sardegna",full-time worker,yes,"spesa alimentare, utenze e bollette",Never think about it,ottimismo,Mai,"No, non l'ho mai usata",altro,Avere uno stipendio più alto,no,
user_18,Italian Survey,2025-04-19,55–64,"Uta, Sardegna",full-time worker,sometimes,"affitto / mutuo, spesa alimentare, utenze e bollette, tempo libero / uscite, prestiti o debiti",no,ansia,,"No, non l'ho mai usata","obiettivi di risparmio, monitoraggio automatico delle spese",Avere uno stipendio più alto,yes,
user_19,Italian Survey,2025-04-20,30–39,"Roma, Lazio",full-time worker,sometimes,"affitto / mutuo, spesa alimentare, utenze e bollette, abbonamenti, spese impreviste",no,"ansia, controllo, frustrazione",Quando penso a progetti che vorrei realizzare,"No, non l'ho mai usata","obiettivi di risparmio, monitoraggio automatico delle spese, sensazione di sicurezza e controllo",Avere un lavoro migliore,yes,se****@gmail.com
user_20,Italian Survey,2025-04-20,40–54,"Napoli, Campania",full-time worker,no,"affitto / mutuo, spesa alimentare, utenze e bollette, prestiti o debiti",no,controllo,Raramente,"No, non l'ho mai usata","grafici e analisi visive, monitoraggio automatico delle spese",Avere uno stipendio più alto,no,
user_21,Italian Survey,2025-04-21,55–64,"Cagliari, Sardegna",full-time worker,yes,"spesa alimentare, abbonamenti, tempo libero / uscite, spese impreviste",no,insicurezza,Mi sento disorientata,"No, non l'ho mai usata","grafici e analisi visive, obiettivi di risparmio",Gestire meglio il denaro,,
